epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
,,,,,
0,0.601260424,1.00E-04,0.659943819,0.652460992,0.622212172
,,,,,
1,0.66543293,1.00E-04,0.609139264,0.637855113,0.618324161
,,,,,
2,0.691341996,1.00E-04,0.582682729,0.673269331,0.585885942
,,,,,
3,0.712349296,1.00E-04,0.55989784,0.694077611,0.568377912
,,,,,
4,0.72525382,1.00E-04,0.542988062,0.734093666,0.538017809
,,,,,
5,0.732856512,1.00E-04,0.529007375,0.735494196,0.539817929
,,,,,
6,0.742309809,1.00E-04,0.518706858,0.73709482,0.542929649
,,,,,
7,0.748111844,1.00E-04,0.508307397,0.742897153,0.526341379
,,,,,
8,0.755814552,1.00E-04,0.49783504,0.737895131,0.527627587
,,,,,
9,0.765017748,1.00E-04,0.484149724,0.741096437,0.529300511
,,,,,
10,0.774271011,1.00E-04,0.472863734,0.754701853,0.516812503
,,,,,
11,0.780523181,1.00E-04,0.462680787,0.774509788,0.480152696
,,,,,
12,0.791176915,1.00E-04,0.450782627,0.764905989,0.485345125
,,,,,
13,0.797429085,1.00E-04,0.438417256,0.791716695,0.448475003
,,,,,
14,0.808833063,1.00E-04,0.4199256,0.793717504,0.446056634
,,,,,
15,0.815335393,1.00E-04,0.408991307,0.811724663,0.419516623
,,,,,
16,0.822938025,1.00E-04,0.393962532,0.809723914,0.42055586
,,,,,
17,0.828139842,1.00E-04,0.38304776,0.826730669,0.388760358
,,,,,
18,0.840744257,1.00E-04,0.36589995,0.806722701,0.453968644
,,,,,
19,0.845095813,1.00E-04,0.358446628,0.840936363,0.368845135
,,,,,
20,0.84689641,1.00E-04,0.346491277,0.815926373,0.421010405
,,,,,
21,0.852998555,1.00E-04,0.332675219,0.816726685,0.409508824
,,,,,
22,0.858600497,1.00E-04,0.323567867,0.844537795,0.362312049
,,,,,
23,0.867203534,1.00E-04,0.310415059,0.776310503,0.545358598
,,,,,
24,0.868954122,1.00E-04,0.30886063,0.853341341,0.339953035
,,,,,
25,0.869354248,1.00E-04,0.299002945,0.858343363,0.337556183
,,,,,
26,0.875706494,1.00E-04,0.292115182,0.85534215,0.339988112
,,,,,
27,0.880658209,1.00E-04,0.280891895,0.832332909,0.407130957
,,,,,
28,0.884909689,1.00E-04,0.273907036,0.808523417,0.481816798
,,,,,
29,0.893212616,5.00E-05,0.257912934,0.851740718,0.346232623
